id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
57164148,,5000,5000,5000.0, 36 months,  9.17%,159.4,B,B2,Food Service,2 years,RENT,30000.0,Not Verified,Jul-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=57164148,,debt_consolidation,Debt consolidation,115xx,NY,35.87,0.0,Mar-2008,680,684,0.0,,,22.0,0.0,22531,52.5%,30.0,w,0.0,0.0,4282.56,4282.56,3634.36,633.2,15.0,0.0,0.0,Jul-2017,1114.35,,Feb-2018,574,570,0.0,,1,Individual,,,,0.0,0.0,46532.0,,,,,,,,,,,,42900.0,,,,3.0,2327.0,12195.0,60.9,0.0,0.0,66.0,88.0,7.0,7.0,0.0,38.0,,23.0,,0.0,11.0,14.0,11.0,15.0,3.0,19.0,27.0,14.0,22.0,0.0,0.0,0.0,1.0,100.0,54.5,0.0,0.0,70892.0,46532.0,31200.0,27992.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,Y,Sep-2017,COMPLETE,Jul-2017,1114.35,45.0,1.0
78528689,,5000,5000,5000.0, 36 months,  5.32%,150.58,A,A1,Audit Manager,9 years,MORTGAGE,72500.0,Not Verified,May-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=78528689,,debt_consolidation,Debt consolidation,229xx,VA,17.78,0.0,Jul-2001,830,834,0.0,,,12.0,0.0,2495,6.4%,23.0,w,0.0,0.0,5092.89,5092.89,5000.0,92.89,0.0,0.0,0.0,Sep-2016,4644.11,,Dec-2017,819,815,0.0,,1,Individual,,,,0.0,0.0,208028.0,1.0,4.0,2.0,2.0,6.0,58274.0,84.0,0.0,0.0,1919.0,56.0,38900.0,0.0,2.0,0.0,2.0,18912.0,28598.0,7.7,0.0,0.0,152.0,177.0,63.0,6.0,2.0,118.0,,,,0.0,2.0,3.0,2.0,2.0,12.0,7.0,9.0,3.0,12.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,265770.0,60769.0,31000.0,69770.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
96664579,,29875,29875,29875.0, 60 months, 21.49%,816.48,D,D5,Director,< 1 year,RENT,250000.0,Source Verified,Feb-2017,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=96664579,,debt_consolidation,Debt consolidation,949xx,CA,20.12,0.0,Jan-1987,690,694,1.0,58.0,,11.0,0.0,35751,101%,31.0,w,0.0,0.0,6491.49,6491.49,859.62,1518.49,0.0,4113.38,740.4084,May-2017,816.48,,Feb-2018,554,550,0.0,,1,Individual,,,,0.0,0.0,78011.0,0.0,4.0,1.0,2.0,8.0,37595.0,38.0,0.0,0.0,13676.0,101.0,35300.0,2.0,1.0,2.0,2.0,7091.0,5883.0,101.0,0.0,0.0,323.0,357.0,54.0,8.0,3.0,54.0,58.0,0.0,58.0,0.0,6.0,6.0,6.0,8.0,16.0,6.0,12.0,6.0,11.0,,0.0,0.0,1.0,94.0,100.0,0.0,0.0,145073.0,78011.0,35300.0,99767.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
2368392,,21000,21000,21000.0, 60 months, 16.29%,513.93,C,C4,Department of Defense,2 years,RENT,92000.0,Verified,Dec-2012,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=2368392,"  Borrower added on 12/08/12 > Recently paid off a large debt over a period of 18 months.  Would now like to pay off all my credit card debts by consolidating into one monthly payment, sell my current vehicle (high maintenance costs) and then lease a vehicle (no maintenance costs).  Pay off my debts quicker and manage my income.<br>",debt_consolidation,payitoff,221xx,VA,22.13,2.0,Jan-1996,690,694,0.0,9.0,,9.0,0.0,11102,64.2%,28.0,f,0.0,0.0,22122.0762290702,22122.08,21000.0,1122.08,0.0,0.0,0.0,Apr-2013,20580.66,,Feb-2018,759,755,0.0,,1,Individual,,,,0.0,0.0,61512.0,,,,,,,,,,,,17300.0,,,,5.0,6835.0,1602.0,82.0,0.0,0.0,184.0,206.0,3.0,3.0,0.0,3.0,9.0,13.0,9.0,0.0,4.0,6.0,4.0,10.0,13.0,7.0,15.0,6.0,9.0,0.0,0.0,0.0,1.0,92.0,75.0,0.0,0.0,84419.0,61512.0,8900.0,67119.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
35266392,,25000,25000,25000.0, 36 months, 11.44%,823.69,B,B4,Landscape Manager,10+ years,MORTGAGE,60000.0,Source Verified,Nov-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=35266392,,debt_consolidation,Debt consolidation,306xx,GA,16.36,0.0,Dec-1993,680,684,0.0,60.0,,8.0,0.0,23262,80.5%,17.0,w,0.0,0.0,29308.958265308,29308.96,25000.0,4308.96,0.0,0.0,0.0,Feb-2017,7908.91,,Feb-2017,684,680,0.0,61.0,1,Individual,,,,0.0,0.0,103153.0,,,,,,,,,,,,28900.0,,,,4.0,12894.0,2238.0,91.2,0.0,0.0,165.0,180.0,8.0,8.0,3.0,15.0,60.0,19.0,60.0,1.0,4.0,4.0,4.0,6.0,4.0,6.0,10.0,4.0,8.0,0.0,0.0,0.0,1.0,88.2,75.0,0.0,0.0,129259.0,33696.0,25500.0,25359.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
50627297,,11200,11200,11200.0, 36 months, 12.29%,373.56,C,C1,Manager,6 years,MORTGAGE,44000.0,Not Verified,Jun-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=50627297,,debt_consolidation,Debt consolidation,315xx,GA,15.38,0.0,Nov-1995,710,714,1.0,,,19.0,0.0,7296,23%,21.0,f,0.0,0.0,13043.6868651471,13043.69,11200.0,1843.69,0.0,0.0,0.0,Mar-2017,5580.14,,Sep-2017,664,660,0.0,48.0,1,Individual,,,,0.0,784.0,8844.0,,,,,,,,,,,,31800.0,,,,15.0,491.0,1670.0,31.0,0.0,0.0,234.0,82.0,5.0,5.0,0.0,5.0,,5.0,,0.0,10.0,17.0,10.0,10.0,3.0,17.0,18.0,10.0,18.0,,0.0,0.0,3.0,95.0,10.0,0.0,0.0,59267.0,8844.0,16700.0,27467.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
40247127,,15000,15000,15000.0, 36 months, 12.99%,505.34,C,C2,Financial Associate,3 years,RENT,50000.0,Verified,Jan-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=40247127,,credit_card,Credit card refinancing,197xx,DE,20.88,0.0,Sep-2005,665,669,0.0,,,17.0,0.0,20364,79.9%,26.0,w,0.0,0.0,14726.84,14726.84,11588.13,3113.44,25.27,0.0,0.0,Jul-2017,1035.95,,Jan-2018,574,570,0.0,,1,Individual,,,,0.0,0.0,43577.0,,,,,,,,,,,,25500.0,,,,6.0,2724.0,4366.0,81.6,0.0,0.0,112.0,70.0,16.0,16.0,0.0,19.0,,17.0,,0.0,8.0,9.0,9.0,9.0,15.0,11.0,11.0,9.0,17.0,0.0,0.0,0.0,0.0,100.0,88.9,0.0,0.0,49312.0,43577.0,23700.0,23812.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
5445601,,20000,20000,20000.0, 36 months, 12.12%,665.44,B,B3,NYPresbyteria Hospital,10+ years,RENT,100000.0,Verified,Jun-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=5445601,,house,Home buying,100xx,NY,5.81,0.0,Apr-1999,670,674,0.0,,111.0,8.0,1.0,18503,74%,12.0,w,0.0,0.0,22516.345027896,22516.35,20000.0,2516.35,0.0,0.0,0.0,Sep-2014,13202.85,,Jul-2017,744,740,0.0,,1,Individual,,,,0.0,0.0,18503.0,,,,,,,,,,,,25000.0,,,,4.0,2313.0,5397.0,77.4,0.0,0.0,67.0,172.0,5.0,5.0,0.0,23.0,,14.0,,0.0,6.0,6.0,6.0,9.0,1.0,8.0,11.0,6.0,8.0,0.0,0.0,0.0,1.0,100.0,66.7,1.0,0.0,25000.0,18503.0,23900.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
74492779,,8400,8400,8400.0, 36 months, 12.99%,282.99,C,C2,Salesman ,2 years,MORTGAGE,37000.0,Source Verified,Mar-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=74492779,,debt_consolidation,Debt consolidation,461xx,IN,5.03,0.0,Aug-2007,660,664,0.0,24.0,,6.0,0.0,4277,59.4%,12.0,w,0.0,0.0,9813.3202679204,9813.32,8400.0,1413.32,0.0,0.0,0.0,Nov-2017,4442.57,,Feb-2018,629,625,0.0,,1,Individual,,,,0.0,0.0,86430.0,0.0,0.0,0.0,0.0,29.0,0.0,,0.0,1.0,2123.0,59.0,7200.0,0.0,0.0,0.0,1.0,17286.0,0.0,100.3,0.0,0.0,72.0,103.0,14.0,14.0,1.0,55.0,,,24.0,0.0,2.0,3.0,2.0,2.0,3.0,5.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0,95569.0,4277.0,2800.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
6874760,,14550,14550,14550.0, 60 months, 18.85%,376.24,D,D3,us postal services,10+ years,RENT,55000.0,Verified,Aug-2013,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=6874760,,debt_consolidation,debt consolidation,117xx,NY,16.18,0.0,Jun-1986,680,684,1.0,40.0,,18.0,0.0,4637,25.6%,33.0,f,0.0,0.0,7954.75,7954.75,3041.69,3729.55,0.0,1183.51,213.03179999900001,Mar-2015,376.24,,Oct-2017,644,640,0.0,48.0,1,Individual,,,,0.0,0.0,27371.0,,,,,,,,,,,,18100.0,,,,9.0,1610.0,5949.0,29.2,0.0,0.0,166.0,208.0,6.0,6.0,0.0,6.0,48.0,6.0,48.0,2.0,4.0,7.0,8.0,15.0,9.0,15.0,23.0,7.0,17.0,0.0,0.0,0.0,6.0,81.0,12.5,0.0,0.0,44159.0,27371.0,8400.0,25197.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,Y,Aug-2017,BROKEN,Mar-2017,3579.12,30.0,12.0
