id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
117870332,,11500,11500,11500.0, 36 months,  9.44%,368.06,B,B1,Credit and collection specialist ,5 years,MORTGAGE,60000.0,Not Verified,Aug-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=117870332,,debt_consolidation,Debt consolidation,919xx,CA,20.02,0.0,May-2003,770,774,0.0,,,17.0,0.0,10478,17%,26.0,w,0.0,0.0,11924.29,11924.29,11500.0,424.29,0.0,0.0,0.0,Feb-2018,10458.08,Mar-2018,Feb-2018,794,790,0.0,,1,Individual,,,,0.0,0.0,19983.0,0.0,3.0,1.0,1.0,8.0,9505.0,38.0,1.0,4.0,909.0,23.0,61800.0,2.0,2.0,1.0,5.0,1332.0,24565.0,9.4,0.0,0.0,144.0,171.0,10.0,8.0,1.0,10.0,,8.0,,0.0,4.0,7.0,9.0,12.0,6.0,14.0,19.0,7.0,17.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,86737.0,19983.0,27100.0,24937.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
10464824,,7000,7000,7000.0, 36 months, 22.90%,270.61,E,E4,Customer Service Manager,10+ years,OWN,75000.0,Verified,Jan-2014,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=10464824,,other,Other,330xx,FL,25.95,3.0,Feb-2002,665,669,2.0,7.0,,16.0,0.0,7140,54.9%,33.0,f,0.0,0.0,3761.75,3761.75,1659.59,1316.96,0.0,785.2,141.3071999995,Dec-2014,270.61,,Oct-2016,499,0,0.0,38.0,1,Individual,,,,0.0,2698.0,28113.0,,,,,,,,,,,,13000.0,,,,4.0,1757.0,2007.0,71.7,0.0,0.0,143.0,109.0,17.0,4.0,0.0,48.0,7.0,3.0,7.0,0.0,7.0,12.0,7.0,17.0,7.0,14.0,26.0,12.0,16.0,0.0,0.0,0.0,1.0,90.3,57.1,0.0,0.0,48511.0,28113.0,7100.0,35511.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
12986787,,33425,33425,33425.0, 60 months, 21.99%,922.98,E,E4,Assistant Superintendent,< 1 year,MORTGAGE,76000.0,Source Verified,Mar-2014,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=12986787,,debt_consolidation,Debt consolidation,647xx,MO,11.13,0.0,Sep-1996,685,689,1.0,,,14.0,0.0,25190,83.4%,43.0,f,11306.02,11306.02,42457.08,42457.08,22118.98,20338.1,0.0,0.0,0.0,Jan-2018,922.98,Mar-2018,Feb-2018,704,700,0.0,,1,Individual,,,,0.0,0.0,334410.0,,,,,,,,,,,,30200.0,,,,7.0,25724.0,992.0,95.7,0.0,0.0,163.0,210.0,16.0,5.0,3.0,50.0,,2.0,,0.0,3.0,5.0,3.0,6.0,29.0,7.0,11.0,5.0,14.0,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0,346039.0,116195.0,23300.0,90339.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
119200730,,30000,30000,30000.0, 60 months, 17.09%,747.03,D,D1,Office Manager,< 1 year,MORTGAGE,45000.0,Source Verified,Sep-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=119200730,,small_business,Business,703xx,LA,16.75,2.0,Mar-2004,695,699,0.0,10.0,,3.0,0.0,3626,72.5%,19.0,w,28354.9,28354.9,3678.18,3678.18,1645.1,2033.08,0.0,0.0,0.0,Feb-2018,747.03,Mar-2018,Sep-2017,699,695,0.0,,1,Joint App,157000.0,26.56,Source Verified,0.0,0.0,214941.0,0.0,1.0,0.0,0.0,33.0,35962.0,,0.0,0.0,3626.0,73.0,5000.0,1.0,1.0,1.0,0.0,71647.0,1374.0,72.5,0.0,0.0,157.0,162.0,118.0,33.0,6.0,123.0,10.0,10.0,10.0,0.0,1.0,1.0,1.0,5.0,6.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,89.5,0.0,0.0,0.0,235683.0,39588.0,5000.0,45600.0,92980.0,675.0,679.0,May-2004,0.0,4.0,11.0,99.2,6.0,8.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
75729548,,19000,19000,19000.0, 36 months, 23.13%,736.78,F,F1,Manager,1 year,RENT,60000.0,Not Verified,Apr-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=75729548,,major_purchase,Debt consolidation,112xx,NY,12.32,0.0,Jul-2004,690,694,3.0,24.0,,12.0,0.0,1340,7.8%,24.0,f,5653.2,5653.2,18660.25,18660.25,13346.8,5313.45,0.0,0.0,0.0,Feb-2018,736.78,Mar-2018,Feb-2018,719,715,0.0,24.0,1,Individual,,,,0.0,0.0,11027.0,3.0,1.0,1.0,2.0,5.0,9687.0,78.0,3.0,4.0,1340.0,37.0,17200.0,0.0,1.0,4.0,6.0,1002.0,7660.0,14.9,0.0,0.0,129.0,140.0,5.0,5.0,0.0,5.0,50.0,5.0,24.0,3.0,1.0,1.0,4.0,7.0,9.0,11.0,15.0,1.0,12.0,0.0,0.0,0.0,4.0,83.3,0.0,0.0,0.0,29700.0,11027.0,9000.0,12500.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
116683533,,18500,18500,18500.0, 60 months, 24.85%,541.38,E,E3,HR MANAGER,10+ years,MORTGAGE,108300.0,Not Verified,Sep-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=116683533,,home_improvement,Home improvement,115xx,NY,32.37,0.0,Jul-2000,730,734,2.0,,,31.0,0.0,19337,21.8%,53.0,w,17675.16,17675.16,2681.36,2681.36,824.84,1856.52,0.0,0.0,0.0,Feb-2018,541.38,Mar-2018,Feb-2018,784,780,0.0,,1,Individual,,,,0.0,0.0,417015.0,4.0,4.0,2.0,3.0,4.0,88708.0,62.0,5.0,5.0,8603.0,37.0,88500.0,1.0,1.0,6.0,9.0,14893.0,50027.0,20.6,0.0,0.0,94.0,205.0,4.0,4.0,1.0,5.0,,5.0,,0.0,6.0,8.0,14.0,22.0,10.0,26.0,42.0,8.0,31.0,0.0,0.0,0.0,8.0,100.0,7.1,0.0,0.0,532662.0,108045.0,63000.0,132708.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68368743,,15000,15000,15000.0, 36 months,  6.99%,463.09,A,A3,Owner,9 years,RENT,95000.0,Source Verified,Feb-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68368743,,credit_card,Credit card refinancing,028xx,RI,10.47,0.0,Sep-1993,705,709,0.0,,,8.0,0.0,11790,57.5%,20.0,w,5325.62,5325.62,11139.07,11139.07,9674.38,1464.69,0.0,0.0,0.0,Feb-2018,463.09,Mar-2018,Feb-2018,674,670,0.0,,1,Individual,,,,0.0,0.0,182859.0,1.0,1.0,1.0,1.0,2.0,26108.0,100.0,1.0,1.0,3479.0,81.0,20500.0,1.0,1.0,2.0,3.0,22857.0,8289.0,57.5,0.0,0.0,165.0,268.0,12.0,2.0,4.0,12.0,,0.0,,0.0,5.0,6.0,5.0,7.0,7.0,6.0,9.0,6.0,8.0,0.0,0.0,0.0,2.0,100.0,20.0,0.0,0.0,193750.0,37898.0,19500.0,26108.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
12495607,,19825,19825,19825.0, 60 months, 17.57%,498.8,D,D2,Office Technician,2 years,RENT,75100.0,Source Verified,Apr-2014,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=12495607,,debt_consolidation,Debt consolidation,956xx,CA,13.62,0.0,Oct-1997,670,674,0.0,,,11.0,0.0,36314,86.6%,21.0,w,0.0,0.0,16030.23,16030.23,8434.66,7595.57,0.0,0.0,0.0,Dec-2016,567.43,,Feb-2018,559,555,0.0,,1,Individual,,,,0.0,0.0,36314.0,,,,,,,,,,,,41300.0,,,,0.0,3301.0,3489.0,89.6,0.0,0.0,139.0,197.0,27.0,27.0,0.0,27.0,,,,0.0,8.0,9.0,9.0,14.0,2.0,11.0,19.0,9.0,11.0,0.0,0.0,0.0,0.0,100.0,66.7,0.0,0.0,41300.0,36314.0,37400.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
3149564,,17625,17625,17625.0, 60 months, 22.95%,496.36,F,F1,JRC Specialty Inc,< 1 year,RENT,40000.0,Verified,Jan-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=3149564,  Borrower added on 01/14/13 > I would like to consolidate my credit cards into one payment.  My goal is to purchase a home within next 2 years.<br>,debt_consolidation,Debt Consolidation,298xx,SC,27.75,0.0,Jul-2000,670,674,1.0,,,17.0,0.0,19575,63.1%,21.0,w,0.0,0.0,27717.44,27717.44,17625.0,10092.44,0.0,0.0,0.0,Apr-2016,8809.64,,Feb-2018,674,670,0.0,,1,Individual,,,,0.0,0.0,55519.0,,,,,,,,,,,,31000.0,,,,4.0,3266.0,4963.0,72.3,0.0,0.0,83.0,152.0,0.0,0.0,0.0,8.0,,3.0,,0.0,2.0,8.0,3.0,4.0,9.0,9.0,12.0,8.0,17.0,0.0,0.0,0.0,4.0,100.0,66.7,0.0,0.0,64664.0,55519.0,17900.0,33664.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
111772412,,4200,4200,4200.0, 36 months, 14.08%,143.71,C,C3,Teacher,10+ years,MORTGAGE,80000.0,Not Verified,Jun-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=111772412,,debt_consolidation,Debt consolidation,604xx,IL,24.66,0.0,Oct-1996,705,709,0.0,,,20.0,0.0,60878,87.6%,41.0,f,3515.26,3515.26,1016.38,1016.38,684.74,331.64,0.0,0.0,0.0,Feb-2018,160.69,Mar-2018,Feb-2018,694,690,0.0,,1,Individual,,,,0.0,0.0,351592.0,0.0,7.0,1.0,1.0,7.0,31186.0,73.0,0.0,1.0,24953.0,82.0,69500.0,1.0,0.0,1.0,2.0,17580.0,0.0,100.6,0.0,0.0,134.0,248.0,20.0,7.0,3.0,20.0,,7.0,,0.0,6.0,10.0,6.0,8.0,23.0,12.0,15.0,10.0,20.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,396399.0,92064.0,55400.0,42624.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
